condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
m2,unconditional,2,0.21727478870336014,100,0.8994,0.9302000000000001,0.0748540586990193
m2,unconditional,2,0.21727478870336014,120,0.9009999999999999,0.934,0.06731167888934293
m2,unconditional,2,0.21727478870336014,140,0.9122,0.9416,0.059923175668754776
m2,unconditional,2,0.21727478870336014,160,0.9281999999999999,0.9556,0.057264380470126275
m2,unconditional,2,0.21727478870336014,180,0.9332,0.9612,0.05394227619852369
m2,unconditional,2,0.21727478870336014,200,0.9476,0.965,0.051108290792940075
m2,conflict,0,0.19666048237476808,0,0.496,0.5334,0.29456274092017587
m2,conflict,0,0.19666048237476808,20,0.4926,0.5316000000000001,0.18808531634066508
m2,conflict,0,0.19666048237476808,40,0.5078,0.5398000000000001,0.1422441583527374
m2,conflict,0,0.19666048237476808,60,0.5100000000000001,0.5406,0.11425940559649994
m2,conflict,0,0.19666048237476808,80,0.49279999999999996,0.5489999999999999,0.09303991646362031
m2,conflict,0,0.19666048237476808,100,0.516,0.5942000000000001,0.07905268802017906
m2,conflict,0,0.19666048237476808,120,0.5526,0.6544,0.0693507142504764
m2,conflict,0,0.19666048237476808,140,0.5760000000000001,0.6692,0.06099538504871114
m2,conflict,0,0.19666048237476808,160,0.6082,0.7088000000000001,0.05483680577826695
m2,conflict,0,0.19666048237476808,180,0.5758,0.6710000000000003,0.05236387573697423
m2,conflict,0,0.19666048237476808,200,0.5336000000000001,0.626,0.04920612263843103
m2,conflict,1,0.21727478870336014,0,0.49559999999999993,0.54,0.2856771864045262
m2,conflict,1,0.21727478870336014,20,0.5112000000000001,0.5428000000000001,0.18348399682521865
m2,conflict,1,0.21727478870336014,40,0.5012,0.5228,0.13604893060030998
m2,conflict,1,0.21727478870336014,60,0.5006,0.5444,0.11118263427828337
m2,conflict,1,0.21727478870336014,80,0.5025999999999999,0.52,0.09059859131612596
m2,conflict,1,0.21727478870336014,100,0.5187999999999999,0.591,0.07825503035349167
m2,conflict,1,0.21727478870336014,120,0.5312,0.6106000000000001,0.06657026379235982
m2,conflict,1,0.21727478870336014,140,0.491,0.5582,0.0569868174988694
m2,conflict,1,0.21727478870336014,160,0.5791999999999999,0.6936,0.056571484891476356
m2,conflict,1,0.21727478870336014,180,0.5792,0.6814,0.054401355233043125
m2,conflict,1,0.21727478870336014,200,0.5034000000000001,0.5726,0.051910623979953
m2,conflict,2,0.21727478870336014,0,0.504,0.5399999999999999,0.2888297287934778
m2,conflict,2,0.21727478870336014,20,0.4938,0.544,0.17807232193337877
m2,conflict,2,0.21727478870336014,40,0.5036,0.5632,0.12813071175440557
m2,conflict,2,0.21727478870336014,60,0.5062,0.5632,0.09861214768393077
